order_id,order_date,pallet_equiv,total_lines,total_items,cluster_id,cluster_size,truck_id,assignment_weight,remaining_capacity_after_assignment
61_split0,2026-01-30,8.0,6,807,,,12,8.0,0.0
61_split1,2026-01-30,5.449999999999999,6,807,,,1,5.449999999999999,0.5500000000000007
56,2026-01-30,4.12,14,344,,,2,4.12,1.88
35,2026-01-30,3.9833333333333334,6,239,,,3,3.9833333333333334,2.0166666666666666
2,2026-01-30,2.6833333333333336,11,86,4.0,30.0,0,2.6833333333333336,0.31666666666666643
62,2026-01-30,2.2173333333333334,23,128,,,4,2.2173333333333334,3.7826666666666666
33,2026-01-30,2.033333333333333,5,122,,,4,2.033333333333333,1.7493333333333334
0,2026-01-30,1.8293333333333333,57,231,17.0,30.0,2,1.8293333333333333,0.05066666666666664
25,2026-01-30,1.4293333333333333,28,102,44.0,3.0,4,1.4293333333333333,0.32000000000000006
30,2026-01-30,1.2733333333333334,30,90,4.0,30.0,3,1.2733333333333334,0.7433333333333332
91,2026-01-30,1.25,5,75,,,5,1.25,4.75
10,2026-01-30,1.1373333333333333,18,66,17.0,30.0,5,1.1373333333333333,3.6126666666666667
54,2026-01-30,1.1333333333333333,5,68,,,5,1.1333333333333333,2.4793333333333334
22,2026-01-30,0.9926666666666667,17,63,64.0,6.0,5,0.9926666666666667,1.4866666666666668
86,2026-01-30,0.9686666666666667,11,47,,,5,0.9686666666666667,0.5180000000000001
29,2026-01-30,0.9586666666666667,24,72,62.0,4.0,6,0.9586666666666667,5.041333333333333
87,2026-01-30,0.938,22,69,,,6,0.938,4.1033333333333335
67,2026-01-30,0.854,27,53,,,6,0.854,3.2493333333333334
14,2026-01-30,0.85,9,51,10.0,3.0,6,0.85,2.3993333333333333
3,2026-01-30,0.8333333333333334,1,50,36.0,29.0,6,0.8333333333333334,1.5659999999999998
81,2026-01-30,0.7833333333333333,10,47,,,6,0.7833333333333333,0.7826666666666665
60,2026-01-30,0.7766666666666666,17,47,,,6,0.7766666666666666,0.005999999999999894
55,2026-01-30,0.7166666666666667,2,43,,,3,0.7166666666666667,0.026666666666666505
90,2026-01-30,0.6666666666666667,5,14,,,7,0.6666666666666667,5.333333333333333
74,2026-01-30,0.6493333333333333,12,46,,,7,0.6493333333333333,4.683999999999999
53,2026-01-30,0.6333333333333333,1,38,,,7,0.6333333333333333,4.050666666666666
58,2026-01-30,0.5733333333333334,6,48,,,7,0.5733333333333334,3.477333333333333
82,2026-01-30,0.5613333333333334,23,46,,,7,0.5613333333333334,2.916
12,2026-01-30,0.5333333333333333,4,32,10.0,3.0,1,0.5333333333333333,0.016666666666667385
18,2026-01-30,0.5333333333333333,4,32,4.0,30.0,7,0.5333333333333333,2.3826666666666667
66,2026-01-30,0.5333333333333333,6,32,,,7,0.5333333333333333,1.8493333333333335
38,2026-01-30,0.5246666666666666,15,31,,,7,0.5246666666666666,1.3246666666666669
43,2026-01-30,0.512,8,32,,,5,0.512,0.006000000000000116
5,2026-01-30,0.5,4,10,31.0,29.0,7,0.5,0.8246666666666669
72,2026-01-30,0.5,4,22,,,7,0.5,0.3246666666666669
68,2026-01-30,0.48333333333333334,7,21,,,8,0.48333333333333334,5.516666666666667
65,2026-01-30,0.44799999999999995,6,44,,,8,0.44799999999999995,5.068666666666667
57,2026-01-30,0.41333333333333333,15,56,,,8,0.41333333333333333,4.655333333333334
88,2026-01-30,0.39999999999999997,4,24,,,8,0.39999999999999997,4.255333333333334
48,2026-01-30,0.3873333333333333,16,25,,,8,0.3873333333333333,3.8680000000000003
27,2026-01-30,0.3833333333333333,8,23,4.0,30.0,8,0.3833333333333333,3.484666666666667
11,2026-01-30,0.3666666666666667,3,22,7.0,4.0,8,0.3666666666666667,3.1180000000000003
42,2026-01-30,0.3666666666666667,5,22,,,8,0.3666666666666667,2.7513333333333336
15,2026-01-30,0.36666666666666664,3,22,22.0,30.0,8,0.36666666666666664,2.384666666666667
7,2026-01-30,0.3333333333333333,4,20,31.0,29.0,8,0.3333333333333333,2.0513333333333335
1,2026-01-30,0.32866666666666666,12,25,41.0,29.0,8,0.32866666666666666,1.7226666666666668
44,2026-01-30,0.31666666666666665,7,19,,,4,0.31666666666666665,0.0033333333333334103
70,2026-01-30,0.31666666666666665,5,15,,,7,0.31666666666666665,0.00800000000000023
16,2026-01-30,0.30933333333333335,14,26,52.0,2.0,0,0.30933333333333335,0.007333333333333081
80,2026-01-30,0.304,10,16,,,8,0.304,1.4186666666666667
23,2026-01-30,0.29533333333333334,11,23,4.0,30.0,8,0.29533333333333334,1.1233333333333335
79,2026-01-30,0.29133333333333333,8,21,,,8,0.29133333333333333,0.8320000000000002
37,2026-01-30,0.2866666666666667,10,26,,,8,0.2866666666666667,0.5453333333333334
85,2026-01-30,0.27666666666666667,11,21,,,8,0.27666666666666667,0.2686666666666668
78,2026-01-30,0.26666666666666666,6,16,,,8,0.26666666666666666,0.002000000000000113
93,2026-01-30,0.26666666666666666,2,16,,,9,0.26666666666666666,5.733333333333333
8,2026-01-30,0.2633333333333333,9,29,41.0,29.0,9,0.2633333333333333,5.47
19,2026-01-30,0.25,3,15,64.0,6.0,9,0.25,5.22
20,2026-01-30,0.25,1,15,44.0,3.0,9,0.25,4.97
40,2026-01-30,0.25,9,15,,,9,0.25,4.72
69,2026-01-30,0.25,4,15,,,9,0.25,4.47
75,2026-01-30,0.25,3,15,,,9,0.25,4.22
13,2026-01-30,0.23333333333333334,6,14,6.0,8.0,9,0.23333333333333334,3.9866666666666664
71,2026-01-30,0.23333333333333334,5,14,,,9,0.23333333333333334,3.753333333333333
24,2026-01-30,0.22266666666666665,7,16,64.0,6.0,9,0.22266666666666665,3.5306666666666664
9,2026-01-30,0.21666666666666665,8,13,44.0,3.0,9,0.21666666666666665,3.3139999999999996
76,2026-01-30,0.2,4,12,,,9,0.2,3.1139999999999994
31,2026-01-30,0.18333333333333335,6,11,4.0,30.0,9,0.18333333333333335,2.9306666666666663
73,2026-01-30,0.18333333333333332,3,11,,,9,0.18333333333333332,2.747333333333333
59,2026-01-30,0.17866666666666667,6,16,,,9,0.17866666666666667,2.5686666666666667
21,2026-01-30,0.168,11,18,76.0,5.0,9,0.168,2.4006666666666665
51,2026-01-30,0.16666666666666669,6,10,,,9,0.16666666666666669,2.234
77,2026-01-30,0.15,1,9,,,9,0.15,2.084
83,2026-01-30,0.15,3,9,,,9,0.15,1.9340000000000002
92,2026-01-30,0.13333333333333333,3,8,,,9,0.13333333333333333,1.8006666666666669
32,2026-01-30,0.11866666666666667,5,8,64.0,6.0,9,0.11866666666666667,1.6820000000000002
84,2026-01-30,0.10600000000000001,4,9,,,9,0.10600000000000001,1.576
39,2026-01-30,0.10200000000000001,3,7,,,9,0.10200000000000001,1.474
6,2026-01-30,0.1,2,6,64.0,6.0,9,0.1,1.3739999999999999
45,2026-01-30,0.09533333333333333,7,11,,,9,0.09533333333333333,1.2786666666666666
46,2026-01-30,0.08333333333333333,3,5,,,9,0.08333333333333333,1.1953333333333334
47,2026-01-30,0.06666666666666667,2,4,,,9,0.06666666666666667,1.1286666666666667
50,2026-01-30,0.06666666666666667,4,4,,,9,0.06666666666666667,1.062
52,2026-01-30,0.06666666666666667,2,4,,,9,0.06666666666666667,0.9953333333333334
41,2026-01-30,0.062,8,31,,,9,0.062,0.9333333333333333
17,2026-01-30,0.054,5,5,0.0,30.0,9,0.054,0.8793333333333333
4,2026-01-30,0.05,3,3,11.0,30.0,2,0.05,0.0006666666666666349
26,2026-01-30,0.05,3,3,46.0,30.0,9,0.05,0.8293333333333333
28,2026-01-30,0.05,3,3,22.0,30.0,9,0.05,0.7793333333333332
49,2026-01-30,0.05,3,3,,,9,0.05,0.7293333333333332
94,2026-01-30,0.05,2,3,,,9,0.05,0.6793333333333331
89,2026-01-30,0.048,4,24,,,9,0.048,0.6313333333333331
63,2026-01-30,0.02266666666666667,3,4,,,3,0.02266666666666667,0.003999999999999837
36,2026-01-30,0.020666666666666667,2,3,,,9,0.020666666666666667,0.6106666666666665
34,2026-01-30,0.018666666666666665,2,2,,,9,0.018666666666666665,0.5919999999999999
64,2026-01-30,0.016666666666666666,1,1,,,1,0.016666666666666666,7.181755190543981e-16
