truck_id,truck_type,capacity,total_weight,remaining_capacity,utilization,order_count,distinct_clusters,cluster_ids
12,large,8.0,8.0,0.0,1.0,1,1,['10']
1,standard,6.0,5.972666666666665,0.027333333333334986,0.9954444444444442,2,2,"['10', '73']"
2,standard,6.0,6.0,5.551115123125783e-17,1.0,2,2,"['10', '70']"
3,standard,6.0,5.985333333333334,0.01466666666666605,0.9975555555555556,3,2,"['5', '60']"
4,standard,6.0,6.0,0.0,1.0,3,2,"['13', '57']"
0,van,3.0,2.993333333333333,0.00666666666666671,0.9977777777777778,2,2,"['18', '6']"
5,standard,6.0,5.996666666666667,0.0033333333333331345,0.9994444444444445,6,5,"['10', '2', '49', '53', '60']"
6,standard,6.0,5.979333333333334,0.020666666666666278,0.9965555555555556,5,4,"['26', '35', '57', '60']"
7,standard,6.0,5.986000000000001,0.013999999999999346,0.9976666666666668,6,5,"['13', '3', '36', '37', '70']"
8,standard,6.0,5.994,0.006000000000000061,0.999,8,7,"['13', '158', '25', '36', '49', '70', '73']"
9,standard,6.0,5.989333333333333,0.010666666666666436,0.9982222222222221,10,8,"['1', '10', '3', '37', '49', '5', '57', '58']"
10,standard,6.0,5.998,0.002000000000000758,0.9996666666666667,13,8,"['13', '146', '3', '36', '49', '50', '67', '70']"
11,standard,6.0,5.9993333333333325,0.0006666666666658716,0.9998888888888887,16,12,"['13', '146', '23', '28', '5', '57', '60', '62', '65', '67', '70', '73']"
13,large,8.0,7.414666666666665,0.5853333333333354,0.9268333333333332,53,19,"['117', '13', '15', '2', '21', '25', '28', '3', '36', '37', '39', '4', '49', '5', '57', '6', '60', '67', '70']"
