order_id,order_date,pallet_equiv,total_lines,total_items,cluster_id,cluster_size,truck_id,assignment_weight,remaining_capacity_after_assignment
998_split0,2026-02-06,8.0,5,778,10,29,12,8.0,0.0
998_split1,2026-02-06,4.966666666666665,5,778,10,29,1,4.966666666666665,1.033333333333335
961,2026-02-06,5.766666666666667,5,346,10,29,2,5.766666666666667,0.2333333333333334
957,2026-02-06,3.833333333333334,6,80,5,30,3,3.833333333333334,2.166666666666666
915,2026-02-06,3.3333333333333335,9,580,57,29,4,3.3333333333333335,2.6666666666666665
989,2026-02-06,2.734,10,245,6,30,0,2.734,0.266
958,2026-02-06,1.8666666666666667,2,112,5,30,3,1.8666666666666667,0.2999999999999994
1013,2026-02-06,1.6073333333333333,12,459,57,29,4,1.6073333333333333,1.0593333333333332
986,2026-02-06,1.5,6,90,10,29,5,1.5,4.5
1007,2026-02-06,1.4706666666666668,17,64,2,30,5,1.4706666666666668,3.029333333333333
999,2026-02-06,1.456,17,74,60,30,5,1.456,1.5733333333333333
920,2026-02-06,1.368,28,86,53,29,5,1.368,0.20533333333333315
942,2026-02-06,1.2713333333333334,23,115,26,30,6,1.2713333333333334,4.728666666666666
935,2026-02-06,1.258,10,251,57,29,6,1.258,3.4706666666666663
1030,2026-02-06,1.25,5,75,26,30,6,1.25,2.2206666666666663
929,2026-02-06,1.2406666666666668,8,85,35,30,6,1.2406666666666668,0.9799999999999995
928,2026-02-06,1.1333333333333335,8,420,37,30,7,1.1333333333333335,4.866666666666666
924,2026-02-06,1.1,4,330,37,30,7,1.1,3.766666666666666
1024,2026-02-06,1.072,22,92,3,30,7,1.072,2.694666666666666
918,2026-02-06,1.0593333333333332,16,75,13,30,4,1.0593333333333332,0.0
927,2026-02-06,1.05,10,55,36,30,7,1.05,1.644666666666666
995,2026-02-06,1.006,16,59,73,30,1,1.006,0.027333333333334986
950,2026-02-06,0.9593333333333333,23,65,60,30,6,0.9593333333333333,0.020666666666666278
931,2026-02-06,0.9473333333333334,24,63,70,30,7,0.9473333333333334,0.6973333333333327
1023,2026-02-06,0.9133333333333333,13,64,73,30,8,0.9133333333333333,5.086666666666667
952,2026-02-06,0.8786666666666667,39,68,13,30,8,0.8786666666666667,4.208
